locality,price
Chaumont-Gistoux,625189.45
Chaussée-Notre-Dame-Louvignies,589500.0
Cheratte,394978.2
Chercq,428000.0
Chevron,449000.0
Chimay,246488.88888888888
Chiny,585000.0
Chièvres,425764.3333333333
Châtelet,219703.37931034484
Châtelineau,189783.94736842104
Châtillon,287000.0
Chênée,197188.8148148148
Ciergnon,279000.0
Ciney,322071.0416666667
Ciply,234000.0
Clabecq,328333.3333333333
Clavier,448308.0
Clermont,159500.0
Colfontaine,175090.47619047618
Comblain-Fairon,210000.0
Comblain-au-Pont,248958.33333333334
Comines,336560.0
Comines-Warneton,168333.33333333334
Corbais,328333.3333333333
Corbion,285666.6666666667
Cornesse,235000.0
Corroy-le-Grand,359750.0
Cortil-Noirmont,422500.0
Couillet,236916.5
Cour-sur-Heure,176000.0
Courcelles,207232.06666666668
Courrière,275000.0
Court-Saint-Étienne,404195.0
Couthuin,365136.22222222225
Couvin,363527.7272727273
Cras-Avernas,240000.0
Crisnée,435094.2
Crombach,307147.3333333333
Cuesmes,164666.66666666666
Cul-des-Sarts,207000.0
Céroux-Mousty,555000.0
Dadizele,239000.0
Dailly,449000.0
Dalhem,447250.0
Damme,842500.0
Dampicourt,237500.0
Dampremy,140000.0
Daussois,200000.0
Dave,321545.45454545453
Daverdisse,264600.0
De Haan,328000.0
De Klinge,333250.0
De Panne,320244.9
De Pinte,406803.4
Deerlijk,359683.9166666667
Deftinge,468721.4
Deinze,413868.18518518517
Denderhoutem,369963.5
Denderleeuw,370678.05
Dendermonde,347141.1
Denderwindeke,380250.0
Dentergem,324500.0
Denée,1850000.0
Dergneau,140000.0
Dessel,316000.0
Desselgem,394239.0
Destelbergen,574500.0
Desteldonk,446000.0
Deurne,261953.75
Deux-Acren,340702.75
Dhuy,549000.0
Diegem,394128.3333333333
Diepenbeek,368384.7
Diest,387333.3333333333
Dikkebus,364000.0
Dikkelvenne,504059.0
Diksmuide,367227.2727272727
Dilbeek,465733.26666666666
Dilsen,225000.0
Dilsen-Stokkem,516991.6666666667
Dinant,307700.0
Dion,148000.0
Dison,196733.33333333334
Dochamps,296000.0
Doel,275000.0
Dohan,159000.0
Doische,323699.77777777775
Dolembreux,1063333.3333333333
Donceel,249000.0
Donstiennes,284499.5
