region,code,municipality
Walloon Region,4780,Saint-Vith
Walloon Region,4841,Welkenraedt
Walloon Region,5070,Fosses-la-Ville
Walloon Region,5353,Ohey
Walloon Region,5361,Hamois
Walloon Region,5372,Havelange
Walloon Region,5380,Fernelmont
Walloon Region,5537,Anhée
Walloon Region,5560,Houyet
Walloon Region,5630,Cerfontaine
Walloon Region,5590,Ciney
Walloon Region,6222,Fleurus
Walloon Region,6440,Froidchapelle
Walloon Region,6681,Sainte-Ode
Walloon Region,6692,Vielsalm
Walloon Region,6720,Habay
Walloon Region,6971,Tenneville
Walloon Region,7502,Tournai
Walloon Region,6663,Houffalize
Walloon Region,7804,Ath
Walloon Region,6673,Gouvy
Walloon Region,6688,Bastogne
Walloon Region,6747,Saint-Léger
Flemish Region,8880,Ledegem
Walloon Region,6831,Bouillon
Flemish Region,9240,Zele
Flemish Region,9521,Sint-Lievens-Houtem
Flemish Region,9630,Zwalin
Walloon Region,6921,Wellin
Flemish Region,9970,Kaprijke
Flemish Region,9981,Sint-Laureins
Walloon Region,7906,Leuze-en-Hainaut
Flemish Region,8433,Middelkerke
Walloon Region,4837,Baelen
Walloon Region,1342,Ottignies-Louvain-la-Neuve
Walloon Region,5001,Namur
Walloon Region,1430,Rebecq
Walloon Region,1440,Braine-le-Château
Walloon Region,5530,Yvoir
Flemish Region,1600,Sint-Pieters-Leeuw
Flemish Region,1653,Beersel
Walloon Region,5651,Walcourt
Walloon Region,6044,Charleroi
Flemish Region,1931,Machelen
Walloon Region,6593,Momignies
Flemish Region,2221,Heist-op-den-Berg
Flemish Region,2288,Grobbendonk
Flemish Region,2328,Hoogstraten
Walloon Region,6852,Paliseul
Flemish Region,3293,Diest
Flemish Region,3400,Landen
Walloon Region,6940,Durbuy
Walloon Region,7030,Mons
Walloon Region,7070,Le Roeulx
Walloon Region,7141,Morlanwelz
Walloon Region,7320,Bernissart
Walloon Region,5575,Gedinne
Walloon Region,5621,Florennes
Walloon Region,7861,Lessines
Walloon Region,6031,Charleroi
Walloon Region,6120,Ham-sur-Heure-Nalinnes
Flemish Region,8421,De Haan
Walloon Region,6531,Thuin
Walloon Region,6662,Houffalize
Walloon Region,6672,Gouvy
Brussels-Capital Region,1040,Etterbeek
Walloon Region,1360,Perwez
Walloon Region,1420,Braine-l’Alleud
Flemish Region,1500,Hal
Flemish Region,1950,Kraainem
Flemish Region,2260,Westerlo
Flemish Region,2431,Laakdal
Brussels-Capital Region,1090,Jette
Walloon Region,1370,Jodoigne
Walloon Region,1428,Braine-l’Alleud
Walloon Region,1495,Villers-la-Ville
Flemish Region,1570,Pajottegem
Flemish Region,1831,Machelen
Flemish Region,1981,Zemst
Flemish Region,2270,Herenthout
Flemish Region,2300,Turnhout
Flemish Region,2381,Ravels
Walloon Region,1325,Chaumont-Gistoux
Walloon Region,1400,Nivelles
Walloon Region,1460,Ittre
Walloon Region,1471,Genappe
Flemish Region,1730,Asse
Flemish Region,2060,Anvers
Flemish Region,2340,Beerse
Flemish Region,2350,Vosselaar
Flemish Region,2390,Malle
Flemish Region,2531,Boechout
Flemish Region,3110,Rotselaar
Flemish Region,3404,Landen
Flemish Region,3550,Heusden-Zolder
Flemish Region,3721,Hasselt
Flemish Region,3724,Hasselt
Walloon Region,4051,Chaudfontaine
Walloon Region,4130,Esneux
Walloon Region,4190,Ferrières
Walloon Region,4253,Geer
Walloon Region,4633,Soumagne
Walloon Region,4861,Pepinster
Walloon Region,4950,Waimes
Walloon Region,5555,Bièvre
Walloon Region,5562,Houyet
Walloon Region,6042,Charleroi
Walloon Region,6061,Charleroi
Walloon Region,6230,Pont-à-Celles
Walloon Region,6560,Erquelinnes
Walloon Region,6690,Vielsalm
Walloon Region,6920,Wellin
Walloon Region,7170,Manage
Walloon Region,7181,Seneffe
Walloon Region,7380,Quiévrain
Walloon Region,7382,Quiévrain
Walloon Region,7784,Comines-Warneton
Walloon Region,7866,Lessines
Flemish Region,8550,Zwevegem
Flemish Region,8755,Wingene
Flemish Region,8810,Lichtervelde
Flemish Region,8950,Heuvelland
Flemish Region,8953,Heuvelland
Flemish Region,9100,Saint-Nicolas
Flemish Region,9770,Kruisem
Flemish Region,9820,Merelbeke-Melle
Flemish Region,9831,Sint-Martens-Latem
Flemish Region,9992,Maldegem
Brussels-Capital Region,1050,Ixelles
Brussels-Capital Region,1210,Saint-Josse-ten-Noode
Walloon Region,1331,Rixensart
Walloon Region,1341,Ottignies-Louvain-la-Neuve
Flemish Region,1640,Rhode-Saint-Genèse
Flemish Region,1760,Roosdaal
Flemish Region,2235,Hulshout
Flemish Region,2240,Zandhoven
Flemish Region,2400,Mol
Flemish Region,2940,Stabroek
Flemish Region,3050,Oud-Heverlee
Flemish Region,3070,Kortenberg
Flemish Region,2540,Hove
Walloon Region,4100,Seraing
Flemish Region,2830,Willebroek
Walloon Region,4140,Sprimont
Flemish Region,2980,Zoersel
Walloon Region,4400,Flémalle
Flemish Region,3000,Louvain
Walloon Region,4451,Juprelle
Flemish Region,3001,Louvain
Walloon Region,4821,Dison
Flemish Region,3040,Huldenberg
Walloon Region,4910,Theux
Flemish Region,3190,Boortmeerbeek
Walloon Region,5332,Assesse
Flemish Region,3202,Aarschot
Walloon Region,5574,Beauraing
Flemish Region,3360,Bierbeek
Walloon Region,5646,Mettet
Flemish Region,3570,Alken
Walloon Region,6141,Fontaine-l’Evêque
Flemish Region,3580,Beringen
Walloon Region,6464,Chimay
Flemish Region,3581,Beringen
Walloon Region,6741,Etalle
Flemish Region,3891,Gingelom
Walloon Region,6767,Rouvroy
Flemish Region,3930,Hamont-Achel
Walloon Region,6972,Tenneville
Flemish Region,3941,Hechtel-Eksel
Walloon Region,7010,Mons
Walloon Region,4219,Wasseiges
Walloon Region,7034,Mons
Walloon Region,4263,Braives
Walloon Region,7387,Honnelles
Walloon Region,4671,Blegny
Walloon Region,7522,Tournai
Walloon Region,7712,Mouscron
Flemish Region,8570,Anzegem
Flemish Region,8890,Moorslede
Flemish Region,9230,Wetteren
Flemish Region,9340,Lede
Walloon Region,4960,Malmedy
Walloon Region,1300,Wavre
Walloon Region,5022,Namur
Flemish Region,1701,Dilbeek
Walloon Region,5310,Eghezée
Walloon Region,6181,Courcelles
Flemish Region,3440,Léau
Flemish Region,3454,Geetbets
