municipality,cords
Harelbeke,"50.863819516, 3.307351631"
Nieuport,"51.12504678, 2.764810944"
Houthulst,"50.970002147, 2.89646659"
Saint-Nicolas,"51.164716288, 4.108528187"
Termonde,"51.027559071, 4.090539882"
Ninove,"50.826039806, 4.004807241"
Maarkedal,"50.795182049, 3.641112203"
Kruisem,"50.908063126, 3.560939232"
Wortegem-Petegem,"50.848354121, 3.527591315"
Deinze,"51.017757976, 3.531612364"
Sint-Martens-Latem,"51.009568062, 3.62221043"
Momignies,"50.002547851, 4.217491017"
Vaux-sur-Sûre,"49.934294374, 5.60659443"
Tintigny,"49.685906253, 5.484433057"
Binche,"50.408694938, 4.177188061"
Tournai,"50.616213564, 3.407978295"
Tournai,"50.616213564, 3.407978295"
Brunehaut,"50.527150313, 3.395108108"
Ath,"50.639365214, 3.772895473"
Frasnes-lez-Anvaing,"50.682385996, 3.600705805"
Oudenburg,"51.186057665, 3.012270937"
Schelle,"51.122655553, 4.342427138"
Rixensart,"50.720826444, 4.525625254"
Pepingen,"50.744232472, 4.147628386"
Machelen,"50.902617439, 4.444135451"
Anvers,"51.260784962, 4.369487632"
Retie,"51.267066742, 5.076783846"
Juprelle,"50.71535076, 5.546274638"
Bonheiden,"51.020817824, 4.570730433"
Montaigu-Zichem,"50.998069085, 4.968569153"
Lanaken,"50.899452877, 5.644358385"
Herstal,"50.681470049, 5.606506035"
Geer,"50.669619424, 5.181421054"
Braives,"50.615318788, 5.14948236"
Oreye,"50.723263986, 5.347297138"
Saint-Vith,"50.286870135, 6.12578482"
Welkenraedt,"50.663504856, 5.939126208"
Fosses-la-Ville,"50.393221962, 4.681006224"
Ohey,"50.435761668, 5.166379867"
Hamois,"50.337020792, 5.139618396"
Havelange,"50.361179955, 5.248163419"
Fernelmont,"50.553975068, 4.987218515"
Anhée,"50.318774451, 4.80999372"
Houyet,"50.186053478, 5.002873906"
Cerfontaine,"50.179534685, 4.43674177"
Ciney,"50.269472287, 5.122614765"
Fleurus,"50.486372527, 4.539207185"
Froidchapelle,"50.165217861, 4.347490001"
Sainte-Ode,"50.024948712, 5.5279958"
Vielsalm,"50.278105831, 5.893367625"
Habay,"49.735008962, 5.617125419"
Tenneville,"50.099708626, 5.490131652"
Tournai,"50.616213564, 3.407978295"
