municipality,cords
Steenokkerzeel,"50.921021143, 4.499241887"
Grimbergen,"50.944676451, 4.376555185"
Wezembeek-Oppem,"50.843089828, 4.49241832"
Herentals,"51.163824531, 4.827615056"
Hoogstraten,"51.440453884, 4.763706694"
Mortsel,"51.174646494, 4.461037751"
Rumst,"51.093817427, 4.421108701"
Rotselaar,"50.959561217, 4.732261774"
Tremelo,"50.999200458, 4.726784648"
Lummen,"50.995304265, 5.183285778"
Zutendaal,"50.932866109, 5.575411589"
Wellen,"50.842651166, 5.323425119"
Hamoir,"50.437346654, 5.555033293"
Geer,"50.669619424, 5.181421054"
Juprelle,"50.71535076, 5.546274638"
Amay,"50.552975853, 5.311566173"
Fléron,"50.615175992, 5.684010836"
Fléron,"50.615175992, 5.684010836"
Oupeye,"50.721178068, 5.641419072"
Limbourg,"50.61133458, 5.937167751"
Trooz,"50.571060629, 5.680210726"
Ohey,"50.435761668, 5.166379867"
Paliseul,"49.907731459, 5.136925044"
Paliseul,"49.907731459, 5.136925044"
Daverdisse,"50.004174845, 5.066490799"
Nassogne,"50.136630902, 5.35879589"
Mouscron,"50.736408581, 3.251073123"
Comines-Warneton,"50.751586024, 2.93036756"
Bruges,"51.248878837, 3.214407515"
Harelbeke,"50.863819516, 3.307351631"
Messines,"50.759776216, 2.89754753"
Lievegem,"51.127051487, 3.587542463"
Ganshoren,"50.874384372, 4.309483685"
Tubize,"50.69017567, 4.190557845"
Anvers,"51.260784962, 4.369487632"
Herselt,"51.047375132, 4.883033737"
Lille,"51.255740109, 4.834203388"
Arendonk,"51.334623627, 5.085454685"
Dessel,"51.24149826, 5.122123399"
Ranst,"51.192796506, 4.590626896"
La Roche-en-Ardenne,"50.167094609, 5.604982961"
Comines-Warneton,"50.751586024, 2.93036756"
Flobecq,"50.753577492, 3.731656659"
Menin,"50.792495637, 3.154387167"
Kortenaken,"50.893133252, 5.023114614"
Gand,"51.074461757, 3.725529268"
Zottegem,"50.867661346, 3.805526184"
Zulte,"50.937350665, 3.472632435"
Charleroi,"50.421053699, 4.434599075"
Zuienkerke,"51.253947865, 3.131383055"
Saint-Hubert,"50.037909515, 5.345596681"
Gand,"51.074461757, 3.725529268"
Soignies,"50.566143002, 4.038338724"
Bernissart,"50.47953059, 3.686535236"
Ninove,"50.826039806, 4.004807241"
Denderleeuw,"50.886322572, 4.0581157"
Assenede,"51.227134451, 3.714851746"
Kaprijke,"51.208045265, 3.62723611"
Wanze,"50.550291253, 5.197935384"
Mettet,"50.323195392, 4.671217991"
Fleurus,"50.486372527, 4.539207185"
Pont-à-Celles,"50.513891629, 4.381325261"
Sainte-Ode,"50.024948712, 5.5279958"
Wielsbeke,"50.912039379, 3.367307018"
Denderleeuw,"50.886322572, 4.0581157"
Brakel,"50.797946981, 3.757996826"
Mons,"50.452418964, 3.971936191"
Ecaussinnes,"50.562712917, 4.179441208"
Tournai,"50.616213564, 3.407978295"
Tournai,"50.616213564, 3.407978295"
Destelbergen,"51.044213677, 3.809360685"
Brakel,"50.797946981, 3.757996826"
Aalter,"51.095258488, 3.447239499"
Maldegem,"51.19815408, 3.450329552"
Saint-Gilles,"50.829484374, 4.3446549"
Hal,"50.726394595, 4.236975532"
Sint-Pieters-Leeuw,"50.78747385, 4.244866773"
Oud-Turnhout,"51.320736091, 5.004372349"
Kontich,"51.123689348, 4.444548747"
Anvers,"51.260784962, 4.369487632"
Puurs-Sint-Amands,"51.061148618, 4.281761374"
Bekkevoort,"50.934352826, 4.977865344"
Halen,"50.949994593, 5.094277524"
Nieuwerkerken,"50.879530701, 5.205039244"
Berloz,"50.703774231, 5.203084196"
Waremme,"50.693855467, 5.2669236"
Awans,"50.692829462, 5.455167947"
Awans,"50.692829462, 5.455167947"
Soumagne,"50.632555934, 5.731262193"
Welkenraedt,"50.663504856, 5.939126208"
Stavelot,"50.416482193, 5.95800526"
Lierneux,"50.307816275, 5.785531656"
La Bruyère,"50.529754745, 4.809783701"
Dinant,"50.249494165, 4.943226507"
Onhaye,"50.260237313, 4.812226539"
Houyet,"50.186053478, 5.002873906"
Courtrai,"50.800025461, 3.264551816"
Ternat,"50.867836796, 4.160230883"
Bocholt,"51.187006396, 5.563881249"
Lontzen,"50.677727563, 6.012521524"
Spa,"50.472003204, 5.867053378"
Namur,"50.46044996, 4.872576802"
Courcelles,"50.472447666, 4.341058617"
Gerpinnes,"50.347478352, 4.527758799"
Thuin,"50.324244976, 4.310791502"
Thuin,"50.324244976, 4.310791502"
Houffalize,"50.144392076, 5.770941883"
Houffalize,"50.144392076, 5.770941883"
Aubange,"49.574901455, 5.776974119"
Aubange,"49.574901455, 5.776974119"
Nassogne,"50.136630902, 5.35879589"
Braine-le-Comte,"50.616169525, 4.142453119"
Tamise,"51.133094652, 4.205783724"
Haaltert,"50.884675688, 3.993361997"
Sint-Laureins,"51.259960899, 3.580199925"
Anderlecht,"50.828978162, 4.29290663"
Nivelles,"50.596982026, 4.332197434"
Walhain,"50.631211847, 4.697275199"
Andenne,"50.486747263, 5.057822335"
Schilde,"51.256174542, 4.581482688"
Keerbergen,"51.005197915, 4.654301982"
Virton,"49.57120473, 5.572256449"
La Roche-en-Ardenne,"50.167094609, 5.604982961"
Jurbise,"50.525229821, 3.901211559"
Binche,"50.408694938, 4.177188061"
Saint-Ghislain,"50.487265226, 3.800940866"
Péruwelz,"50.529458314, 3.563869138"
Brunehaut,"50.527150313, 3.395108108"
Estaimpuis,"50.687665389, 3.288475449"
Herve,"50.648702164, 5.796260538"
Lessines,"50.712532237, 3.833073689"
Sint-Katelijne-Waver,"51.062403337, 4.536313746"
Oud-Heverlee,"50.820023916, 4.686914871"
Seraing,"50.589127814, 5.515828554"
Braives,"50.615318788, 5.14948236"
Soumagne,"50.632555934, 5.731262193"
Herve,"50.648702164, 5.796260538"
Herve,"50.648702164, 5.796260538"
Namur,"50.46044996, 4.872576802"
Floreffe,"50.434982939, 4.755713222"
Ohey,"50.435761668, 5.166379867"
Hamois,"50.337020792, 5.139618396"
Beauraing,"50.093132367, 4.952605842"
Florennes,"50.253815863, 4.631164588"
Charleroi,"50.421053699, 4.434599075"
Charleroi,"50.421053699, 4.434599075"
Lobbes,"50.355794308, 4.241789981"
Merbes-le-Château,"50.320951198, 4.194532932"
Chiny,"49.720131394, 5.391464332"
Chiny,"49.720131394, 5.391464332"
Bouillon,"49.805989674, 5.083195503"
La Roche-en-Ardenne,"50.167094609, 5.604982961"
Saint-Ghislain,"50.487265226, 3.800940866"
Ath,"50.639365214, 3.772895473"
Lessines,"50.712532237, 3.833073689"
Leuze-en-Hainaut,"50.597269839, 3.628784204"
Leuze-en-Hainaut,"50.597269839, 3.628784204"
Ostende,"51.210697515, 2.923578868"
Poperinge,"50.861020343, 2.691526901"
Buggenhout,"51.011844127, 4.199012974"
Lierde,"50.805475241, 3.836445719"
Lievegem,"51.127051487, 3.587542463"
Drogenbos,"50.793495243, 4.309029404"
Anthisnes,"50.489408328, 5.498588906"
Visé,"50.738364175, 5.68746133"
Beloeil,"50.532510697, 3.688628078"
Bredene,"51.238177552, 2.976177503"
Dalhem,"50.720734234, 5.759037857"
Pittem,"51.001002839, 3.265561439"
Mons,"50.452418964, 3.971936191"
Eeklo,"51.194317879, 3.562329043"
Evergem,"51.14332955, 3.7081813"
Tournai,"50.616213564, 3.407978295"
Tournai,"50.616213564, 3.407978295"
Dalhem,"50.720734234, 5.759037857"
Antoing,"50.556162077, 3.465745334"
Beyne-Heusay,"50.628401734, 5.661562695"
Zwevegem,"50.786949116, 3.372555192"
Saint-Vith,"50.286870135, 6.12578482"
Poperinge,"50.861020343, 2.691526901"
Stekene,"51.212318539, 4.028739373"
Waasmunster,"51.118640204, 4.07485778"
Gand,"51.074461757, 3.725529268"
Ninove,"50.826039806, 4.004807241"
Assesse,"50.375472708, 4.993003352"
Beauraing,"50.093132367, 4.952605842"
Charleroi,"50.421053699, 4.434599075"
Montigny-le-Tilleul,"50.376231032, 4.371331498"
Libramont-Chevigny,"49.946173386, 5.422403294"
Alost,"50.944711831, 4.068722574"
Tournai,"50.616213564, 3.407978295"
Tournai,"50.616213564, 3.407978295"
Pecq,"50.685158392, 3.356784596"
Ath,"50.639365214, 3.772895473"
Brugelette,"50.602026895, 3.867184198"
Brugelette,"50.602026895, 3.867184198"
Damme,"51.252184893, 3.327385478"
Avelgem,"50.777645366, 3.453710456"
Alveringem,"50.975756315, 2.677767313"
Staden,"50.953744492, 3.018927077"
Ypres,"50.854338205, 2.866468935"
Alost,"50.944711831, 4.068722574"
Ninove,"50.826039806, 4.004807241"
Herzele,"50.870434469, 3.892462656"
Bruxelles,"50.85500227, 4.351220868"
Rixensart,"50.720826444, 4.525625254"
Beersel,"50.750400221, 4.30185159"
Dilbeek,"50.853298266, 4.233827597"
Vilvorde,"50.930255343, 4.433909012"
Vilvorde,"50.930255343, 4.433909012"
Meise,"50.961140928, 4.315650953"
Merksplas,"51.370423306, 4.870203062"
Grimbergen,"50.944676451, 4.376555185"
Lierre,"51.118356637, 4.573892296"
Anvers,"51.260784962, 4.369487632"
Hemiksem,"51.143732557, 4.340202352"
Heist-op-den-Berg,"51.071642019, 4.736042345"
Boortmeerbeek,"50.980091231, 4.560843786"
Balen,"51.158605534, 5.182967361"
Bekkevoort,"50.934352826, 4.977865344"
Niel,"51.107301458, 4.335440566"
Puurs-Sint-Amands,"51.061148618, 4.281761374"
Wellen,"50.842651166, 5.323425119"
Montaigu-Zichem,"50.998069085, 4.968569153"
Heers,"50.753679349, 5.311918653"
Linter,"50.820783406, 5.04199515"
Hechtel-Eksel,"51.138445901, 5.346479815"
Bree,"51.141892732, 5.632485226"
Beringen,"51.065468341, 5.236065884"
Clavier,"50.412928865, 5.335861243"
Oupeye,"50.721178068, 5.641419072"
Oupeye,"50.721178068, 5.641419072"
Plombières,"50.725603797, 5.949040677"
Namur,"50.46044996, 4.872576802"
Jemeppe-sur-Sambre,"50.471698959, 4.676174315"
Onhaye,"50.260237313, 4.812226539"
Hastière,"50.194993776, 4.825736667"
Watermael-Boitsfort,"50.792925423, 4.423489046"
Philippeville,"50.169217318, 4.587871065"
Viroinval,"50.053846613, 4.625236919"
Courcelles,"50.472447666, 4.341058617"
Ottignies-Louvain-la-Neuve,"50.67035588, 4.564163113"
Fleurus,"50.486372527, 4.539207185"
Chimay,"50.040900858, 4.324269101"
Habay,"49.735008962, 5.617125419"
Florenville,"49.707723977, 5.275493726"
Nassogne,"50.136630902, 5.35879589"
Mons,"50.452418964, 3.971936191"
Soignies,"50.566143002, 4.038338724"
Saint-Ghislain,"50.487265226, 3.800940866"
Colfontaine,"50.405868879, 3.844179716"
Quaregnon,"50.437820239, 3.858654418"
Brunehaut,"50.527150313, 3.395108108"
Courtrai,"50.800025461, 3.264551816"
Kuurne,"50.860167176, 3.271581352"
Zwevegem,"50.786949116, 3.372555192"
Genappe,"50.610166243, 4.456118695"
Zwevegem,"50.786949116, 3.372555192"
Pepingen,"50.744232472, 4.147628386"
Espierres-Helchin,"50.730550042, 3.362765696"
Waregem,"50.880617044, 3.402499145"
Wichelen,"50.998751664, 3.953472773"
Wijnegem,"51.229566885, 4.516897491"
Malines,"51.028657551, 4.45023195"
Bornem,"51.095190627, 4.24253547"
Brecht,"51.335944355, 4.628204664"
Faimes,"50.644824404, 5.242740372"
Oosterzele,"50.938836703, 3.797144952"
Saint-Vith,"50.286870135, 6.12578482"
Saint-Vith,"50.286870135, 6.12578482"
Namur,"50.46044996, 4.872576802"
Assesse,"50.375472708, 4.993003352"
Hamois,"50.337020792, 5.139618396"
Mettet,"50.323195392, 4.671217991"
Montigny-le-Tilleul,"50.376231032, 4.371331498"
Les Bons Villers,"50.527881629, 4.448179682"
Fleurus,"50.486372527, 4.539207185"
Thuin,"50.324244976, 4.310791502"
Audenarde,"50.853515214, 3.620986445"
Arlon,"49.675189053, 5.79388553"
Etalle,"49.663918094, 5.608965443"
Virton,"49.57120473, 5.572256449"
Libin,"49.978125123, 5.238151757"
Boussu,"50.427099965, 3.799637977"
Silly,"50.648668093, 3.959010905"
Anzegem,"50.830717937, 3.453902024"
Alveringem,"50.975756315, 2.677767313"
Ypres,"50.854338205, 2.866468935"
Ypres,"50.854338205, 2.866468935"
Alost,"50.944711831, 4.068722574"
Horebeke,"50.832137078, 3.6944949"
Deerlijk,"50.842559202, 3.366157828"
Koksijde,"51.11195232, 2.679327091"
Ardooie,"50.981620423, 3.203102087"
Aalter,"51.095258488, 3.447239499"
Assenede,"51.227134451, 3.714851746"
Malines,"51.028657551, 4.45023195"
Oud-Heverlee,"50.820023916, 4.686914871"
Haacht,"50.964031691, 4.641182537"
Léglise,"49.809893958, 5.566740112"
Wellen,"50.842651166, 5.323425119"
Lincent,"50.721441495, 5.027584851"
Marchin,"50.467403789, 5.23950979"
Aubel,"50.700472852, 5.851307544"
Beauraing,"50.093132367, 4.952605842"
Dour,"50.387351341, 3.787009091"
Tournai,"50.616213564, 3.407978295"
Antoing,"50.556162077, 3.465745334"
Mettet,"50.323195392, 4.671217991"
Bruges,"51.248878837, 3.214407515"
Fontaine-l’Evêque,"50.407344544, 4.321806821"
Middelkerke,"51.15342505, 2.838569563"
Lo-Reninge,"50.96063699, 2.775355586"
Renaix,"50.749702725, 3.607585282"
Lasne,"50.682331247, 4.461591668"
Genappe,"50.610166243, 4.456118695"
Merchtem,"50.951206115, 4.247152461"
Gand,"51.074461757, 3.725529268"
Gand,"51.074461757, 3.725529268"
Sint-Gillis-Waas,"51.229555951, 4.118894692"
Woluwe-Saint-Lambert,"50.847899913, 4.43155249"
Chastre,"50.589432066, 4.623257861"
Pepingen,"50.744232472, 4.147628386"
Kapelle-op-den-Bos,"51.003652081, 4.354648276"
Zaventem,"50.871257881, 4.486517478"
Plombières,"50.725603797, 5.949040677"
Hamois,"50.337020792, 5.139618396"
Antoing,"50.556162077, 3.465745334"
Zedelgem,"51.126629115, 3.134318455"
Zwevegem,"50.786949116, 3.372555192"
Anzegem,"50.830717937, 3.453902024"
Dentergem,"50.953225916, 3.406558524"
Evere,"50.870015075, 4.408234018"
Woluwe-Saint-Pierre,"50.831100599, 4.44308784"
Dilbeek,"50.853298266, 4.233827597"
Dinant,"50.249494165, 4.943226507"
Dinant,"50.249494165, 4.943226507"
Tielt-Winge,"50.923376631, 4.896548809"
Beauraing,"50.093132367, 4.952605842"
Fourons,"50.745325166, 5.822668977"
Pelt,"51.21492909, 5.427213134"
Herstal,"50.681470049, 5.606506035"
Habay,"49.735008962, 5.617125419"
Tinlot,"50.47511335, 5.380173612"
Herve,"50.648702164, 5.796260538"
Soignies,"50.566143002, 4.038338724"
Bullange,"50.396010504, 6.31387065"
Péruwelz,"50.529458314, 3.563869138"
Burg-Reuland,"50.203529851, 6.093014098"
Celles,"50.703701221, 3.449063922"
Gesves,"50.422446092, 5.053422122"
Onhaye,"50.260237313, 4.812226539"
Beloeil,"50.532510697, 3.688628078"
Charleroi,"50.421053699, 4.434599075"
Charleroi,"50.421053699, 4.434599075"
Sivry-Rance,"50.160017226, 4.210570576"
Haaltert,"50.884675688, 3.993361997"
Gavere,"50.928938287, 3.685496952"
Grez-Doiceau,"50.748454519, 4.688040249"
Zandhoven,"51.211297327, 4.679232437"
Hoogstraten,"51.440453884, 4.763706694"
Kasterlee,"51.243254665, 4.942037881"
Brasschaat,"51.309507539, 4.500424636"
Kapellen,"51.333953913, 4.443787701"
Saint-Trond,"50.810337691, 5.202982831"
Bruxelles,"50.85500227, 4.351220868"
Wavre,"50.715804617, 4.593243607"
Court-Saint-Etienne,"50.626447299, 4.562597763"
Anvers,"51.260784962, 4.369487632"
Anvers,"51.260784962, 4.369487632"
Geel,"51.166492084, 4.984766468"
Nijlen,"51.150892421, 4.6635865"
Anvers,"51.260784962, 4.369487632"
Boom,"51.093555823, 4.372922838"
Montaigu-Zichem,"50.998069085, 4.968569153"
Diest,"51.001417469, 5.069106855"
Boutersem,"50.834827012, 4.84248527"
Huy,"50.508796264, 5.222415053"
Tournai,"50.616213564, 3.407978295"
Tournai,"50.616213564, 3.407978295"
Tournai,"50.616213564, 3.407978295"
Tournai,"50.616213564, 3.407978295"
Tournai,"50.616213564, 3.407978295"
Ath,"50.639365214, 3.772895473"
Brugelette,"50.602026895, 3.867184198"
Knokke-Heist,"51.332531734, 3.307923524"
Middelkerke,"51.15342505, 2.838569563"
Avelgem,"50.777645366, 3.453710456"
Furnes,"51.04659548, 2.664715335"
Torhout,"51.062318933, 3.095477732"
Heuvelland,"50.775502208, 2.830312206"
Tournai,"50.616213564, 3.407978295"
Enghien,"50.672033802, 3.993303175"
Leuze-en-Hainaut,"50.597269839, 3.628784204"
Ittre,"50.642465921, 4.257516783"
Bourg-Léopold,"51.11741408, 5.250472438"
Villers-Le-Bouillet,"50.593353396, 5.24280731"
Limbourg,"50.61133458, 5.937167751"
Plombières,"50.725603797, 5.949040677"
Dinant,"50.249494165, 4.943226507"
Couvin,"50.037871229, 4.480926695"
Courcelles,"50.472447666, 4.341058617"
Chimay,"50.040900858, 4.324269101"
Gouvy,"50.192576392, 5.911460771"
Attert,"49.745531216, 5.757495684"
Oupeye,"50.721178068, 5.641419072"
Raeren,"50.664777623, 6.124771698"
Koekelare,"51.089023312, 2.963834105"
Oostrozebeke,"50.930596884, 3.337215221"
Roulers,"50.936834812, 3.133565462"
Lendelede,"50.885992216, 3.23202288"
Gand,"51.074461757, 3.725529268"
Berlare,"51.036272136, 3.979263157"
Lievegem,"51.127051487, 3.587542463"
Lievegem,"51.127051487, 3.587542463"
Maldegem,"51.19815408, 3.450329552"
Houyet,"50.186053478, 5.002873906"
Dilbeek,"50.853298266, 4.233827597"
Charleroi,"50.421053699, 4.434599075"
Anderlues,"50.403610937, 4.265673265"
Arlon,"49.675189053, 5.79388553"
Holsbeek,"50.929694418, 4.801842678"
Maasmechelen,"50.968921505, 5.677918216"
Maasmechelen,"50.968921505, 5.677918216"
Tellin,"50.075446775, 5.225661933"
Gingelom,"50.737417011, 5.16949942"
Anthisnes,"50.489408328, 5.498588906"
Hamoir,"50.437346654, 5.555033293"
Saint-Georges-sur-Meuse,"50.596687166, 5.360580925"
Raeren,"50.664777623, 6.124771698"
Stoumont,"50.408216444, 5.798437607"
Sombreffe,"50.526667975, 4.602683705"
Saint-Ghislain,"50.487265226, 3.800940866"
Liège,"50.631779266, 5.590470487"
Héron,"50.540450236, 5.105364152"
Virton,"49.57120473, 5.572256449"
Florenville,"49.707723977, 5.275493726"
Bouillon,"49.805989674, 5.083195503"
Bertrix,"49.853965295, 5.246271226"
Bruxelles,"50.85500227, 4.351220868"
Hoegaarden,"50.779132838, 4.876531798"
Fourons,"50.745325166, 5.822668977"
Comblain-au-Pont,"50.481752448, 5.579981241"
Nandrin,"50.517154049, 5.400723375"
Riemst,"50.805367671, 5.592308986"
Juprelle,"50.71535076, 5.546274638"
Rumes,"50.54448947, 3.319812614"
Ouffet,"50.444744904, 5.465863768"
Fléron,"50.615175992, 5.684010836"
Arlon,"49.675189053, 5.79388553"
Messancy,"49.614764454, 5.811267142"
Florenville,"49.707723977, 5.275493726"
Wellin,"50.06013352, 5.09849042"
Mons,"50.452418964, 3.971936191"
Heuvelland,"50.775502208, 2.830312206"
Quévy,"50.366592778, 3.95436521"
Brunehaut,"50.527150313, 3.395108108"
De Haan,"51.261617741, 3.047397778"
